History Length,Forecast Length,Units,Epochs,Loss
250,10,[20],5,0.004433113379178155
250,10,[40],7,0.004430470431523264
250,10,[160],5,0.004432891254750141
250,10,[120],6,0.004432482878671175
250,10,[160],6,0.004431427783074712
250,10,[20],4,0.004434861942052562
250,10,[60],3,0.004444123357417134
250,10,[160],7,0.0044304620137052084
250,10,[200],5,0.004432906717913758
250,10,[120],7,0.004430457806361229
250,10,[40],6,0.004431210249927167
250,10,[60],5,0.004433847112923959
250,10,[180],6,0.004431379376285162
250,10,[20],6,0.004431369475335818
250,10,[180],8,0.0044298518936199925
250,10,[80],8,0.004430127757000788
250,10,[160],9,0.004429487809823544
250,10,[60],4,0.004434677884947239
250,10,[100],6,0.004432645727748375
250,10,[200],9,0.004429475261879826
250,10,[180],9,0.004429471490512532
250,10,[80],7,0.004430907127209726
250,10,[200],7,0.004430418470131918
250,10,[140],7,0.004430461918974892
250,10,[60],7,0.004431013750238988
250,10,[120],4,0.004435510681106799
250,10,[60],8,0.004429901985350118
250,10,[180],4,0.004435348287254252
250,10,[100],7,0.004431086268824542
250,10,[120],8,0.004429610037122043
250,10,[140],8,0.0044298524420425135
250,10,[200],8,0.004429848194276825
250,10,[200],6,0.0044313164331283034
250,10,[60],9,0.004429752473752703
250,10,[100],10,0.004429374150965816
250,10,[180],10,0.004429242910554362
250,10,[140],9,0.004429485089416399
250,10,[40],8,0.004429867714854482
250,10,[120],5,0.004434618286195727
250,10,[100],9,0.004429777486730532
250,10,[40],9,0.004429474467702089
250,10,[80],6,0.004431913695674005
250,10,[80],9,0.004429420675161958
250,10,[160],10,0.0044292286122714795
250,10,[20],9,0.004429608742544456
250,10,[60],10,0.004429273819379399
250,10,[60],6,0.004431378124933414
250,10,[20],7,0.0044312419749974775
250,10,[40],10,0.004429234527649993
250,10,[200],10,0.004429235717870713
250,10,[140],10,0.00442924434433932
250,10,[180],7,0.00443046033758205
250,10,[120],10,0.004429387541043563
250,10,[100],8,0.004430240267059735
250,10,[120],9,0.004429665155092497
250,10,[20],10,0.004429217670311498
250,10,[80],10,0.004429165806347489
250,10,[160],8,0.004429877100594423
300,10,[140],1,0.004192714553704692
300,10,[120],1,0.004192816257971151
300,10,[20],1,0.00419524830049092
300,10,[80],1,0.0041968448469178726
300,10,[180],1,0.004192589765090849
300,10,[200],1,0.0041922745832633284
300,10,[100],1,0.004193270089080094
300,10,[160],1,0.0041928472061787845
300,10,[60],1,0.004209095107151404
300,10,[40],1,0.004203298727749476
300,10,[20],2,0.0041907892305203
300,10,[200],2,0.004186472921558809
300,10,[180],2,0.004186784245626866
300,10,[100],2,0.0041869747381344516
300,10,[120],2,0.004186916268971266
300,10,[40],2,0.004192729344651118
300,10,[80],2,0.004191239950575999
300,10,[80],3,0.00418484410866391
300,10,[140],2,0.0041868231396065304
300,10,[80],5,0.0041833007886029625
300,10,[60],2,0.004195343958562099
300,10,[120],3,0.004184799393798787
300,10,[20],6,0.004183422600786783
300,10,[60],3,0.004188691982661211
300,10,[80],4,0.004185081886865991
300,10,[160],3,0.004184709684621821
300,10,[180],3,0.004184659072357474
300,10,[100],3,0.004184767437113656
300,10,[200],3,0.004184524725541532
300,10,[140],3,0.00418470560161502
300,10,[40],3,0.004188241800283368
300,10,[200],5,0.0041831064705848174
300,10,[20],4,0.0041837645911339365
300,10,[160],2,0.004186598846410339
300,10,[60],4,0.004185674488845834
300,10,[120],9,0.004182472511068862
300,10,[80],6,0.004183054279751298
300,10,[100],4,0.004185216044820884
300,10,[40],4,0.004183771710289289
300,10,[60],5,0.004184287234263913
300,10,[160],5,0.004183115289835014
300,10,[160],4,0.00418362452708853
300,10,[140],4,0.004183662119622445
300,10,[120],7,0.00418265022895578
300,10,[100],7,0.004182655396757108
300,10,[40],5,0.004184626228313891
300,10,[180],4,0.004183633043608179
300,10,[40],7,0.004183080321242529
300,10,[140],5,0.004183167839270175
300,10,[20],8,0.004182811178889806
300,10,[20],3,0.004186553334611047
300,10,[120],6,0.0041828486956178666
300,10,[160],9,0.004182482043697089
300,10,[20],5,0.0041843327748745185
300,10,[40],6,0.0041835625126965415
300,10,[60],6,0.00418332700691569
300,10,[140],7,0.004182663207160844
300,10,[60],7,0.004183150368143531
300,10,[200],6,0.004182818928668247
300,10,[100],10,0.004182441571206472
300,10,[140],6,0.004182793873716853
300,10,[80],8,0.004182656158695377
300,10,[200],8,0.004182525179175001
300,10,[100],6,0.004182834247498279
300,10,[60],8,0.004182856908203901
300,10,[80],7,0.004182667068944506
300,10,[120],8,0.004182541650401898
300,10,[40],8,0.004182783970659996
300,10,[140],8,0.004182549030036042
300,10,[20],7,0.00418271311900106
