History Length,Forecast Length,Units,Epochs,Loss
50,10,[20],5,0.012308003895669103
50,10,[160],7,0.008004066827169627
50,10,[180],7,0.008221311940186585
50,10,[200],8,0.008057051875442133
50,10,[80],10,0.006225916078547299
50,10,[180],10,0.006762306497116797
50,10,[120],6,0.00670647482286041
50,10,[80],7,0.007883923414189262
50,10,[40],7,0.006622092816756325
50,10,[20],8,0.005811561393992487
50,10,[100],9,0.006362405291689902
100,10,[120],3,0.010427655273166907
100,10,[80],2,0.007694254252370166
100,10,[60],3,0.013985729746650417
100,10,[180],7,0.007613207285836025
100,10,[120],5,0.008417424718420195
100,10,[80],6,0.00881922208808482
100,10,[120],10,0.005991749292716224
100,10,[20],2,0.008491322980041982
100,10,[160],4,0.016503228170059645
100,10,[80],4,0.019855454343207506
100,10,[180],6,0.007155534199837025
100,10,[60],8,0.0056144770951757845
100,10,[60],9,0.006713894850648782
100,10,[200],1,0.018267987223564337
100,10,[160],1,0.022625902783391303
100,10,[120],1,0.017741187758627475
100,10,[40],1,0.014076825697347722
100,10,[80],1,0.012739746126654612
100,10,[20],1,0.01301865177096148
100,10,[100],2,0.007990364442913692
100,10,[60],2,0.007520738636606842
100,10,[140],1,0.017084680007214265
100,10,[100],1,0.019499466807565695
100,10,[140],2,0.007520705979793587
100,10,[160],2,0.009302436857836273
100,10,[180],1,0.018911182510922542
100,10,[60],1,0.013804328801103055
100,10,[200],2,0.00837300993071898
100,10,[40],3,0.010240251387446593
100,10,[40],2,0.00717016112039437
100,10,[180],4,0.017010180989987186
100,10,[20],5,0.01920723081268105
100,10,[160],7,0.006411865468375086
100,10,[120],2,0.007825077289822869
100,10,[60],4,0.016105447116489535
100,10,[140],5,0.010180523276738037
100,10,[180],2,0.007997396691172925
100,10,[40],7,0.007980529610694039
100,10,[160],3,0.011913599511335348
100,10,[140],3,0.012203994928793522
100,10,[60],6,0.008902513037533314
100,10,[140],6,0.010040733446032905
100,10,[140],7,0.008151074450444856
100,10,[40],8,0.006960332237191917
100,10,[160],6,0.008682995442392575
100,10,[120],9,0.006521197028633082
100,10,[120],4,0.015508044433752888
100,10,[140],9,0.006203433411861636
100,10,[100],9,0.006284356647039817
100,10,[140],10,0.0064518614501777385
